t,d1,v1,a1
0.010,6.2,-0.015,-3.0
0.020,6.2,-0.06,-6.0
0.030,6.199,-0.135,-9.0
0.040,6.197,-0.24,-12.0
0.050,6.194,-0.375,-15.0
0.060,6.189,-0.54,-18.0
0.070,6.183,-0.735,-21.0
0.080,6.174,-0.96,-24.0
0.090,6.164,-1.215,-27.0
0.100,6.15,-1.5,-30.0
0.110,6.133,-1.815,-33.0
0.120,6.114,-2.16,-36.0
0.130,6.09,-2.535,-39.0
0.140,6.063,-2.912,-36.233
0.150,6.032,-3.26,-33.233
0.160,5.998,-3.577,-30.233
0.170,5.961,-3.864,-27.233
0.180,5.921,-4.122,-24.233
0.190,5.878,-4.349,-21.233
0.200,5.834,-4.546,-18.233
0.210,5.787,-4.714,-15.233
0.220,5.74,-4.851,-12.233
0.230,5.69,-4.958,-9.233
0.240,5.64,-5.036,-6.233
0.250,5.59,-5.083,-3.233
0.260,5.539,-5.1,-0.233
0.270,5.488,-5.1,0.0
0.280,5.437,-5.1,0.0
0.290,5.386,-5.1,0.0
0.300,5.335,-5.1,0.0
0.310,5.284,-5.1,0.0
0.320,5.233,-5.1,0.0
0.330,5.182,-5.1,0.0
0.340,5.131,-5.1,0.0
0.350,5.08,-5.092,2.199
0.360,5.029,-5.055,5.199
0.370,4.979,-4.988,8.199
0.380,4.929,-4.891,11.199
0.390,4.881,-4.764,14.199
0.400,4.834,-4.607,17.199
0.410,4.789,-4.42,20.199
0.420,4.746,-4.203,23.199
0.430,4.705,-3.956,26.199
0.440,4.667,-3.679,29.199
0.450,4.632,-3.372,32.199
0.460,4.6,-3.035,35.199
0.470,4.571,-2.668,38.199
0.480,4.546,-2.271,41.199
0.490,4.526,-1.845,44.199
0.500,4.51,-1.388,47.199
0.510,4.498,-0.901,50.199
0.520,4.492,-0.384,53.199
0.530,4.491,0.163,56.199
0.540,4.495,0.74,59.199
0.550,4.505,1.347,62.199
0.560,4.522,1.984,65.199
0.570,4.545,2.651,68.199
0.580,4.575,3.348,71.199
0.590,4.612,4.075,74.199
0.600,4.657,4.832,77.199
0.610,4.709,5.619,80.199
0.620,4.769,6.436,83.199
0.630,4.838,7.283,86.199
0.640,4.915,8.159,88.003
0.650,5.001,9.024,85.003
0.660,5.095,9.859,82.003
0.670,5.198,10.664,79.003
0.680,5.309,11.439,76.003
0.690,5.427,12.184,73.003
0.700,5.552,12.899,70.003
0.710,5.685,13.584,67.003
0.720,5.824,14.239,64.003
0.730,5.969,14.864,61.003
0.740,6.121,15.459,58.003
0.750,6.278,16.025,55.048
0.760,6.441,16.56,52.048
0.770,6.61,17.066,49.048
0.780,6.783,17.541,46.048
0.790,6.96,17.987,43.048
0.800,7.142,18.402,40.048
0.810,7.328,18.788,37.048
0.820,7.518,19.143,34.048
0.830,7.711,19.468,31.048
0.840,7.907,19.764,28.048
0.850,8.106,20.029,25.048
0.860,8.308,20.265,22.048
0.870,8.511,20.47,19.048
0.880,8.717,20.646,16.048
0.890,8.924,20.791,13.048
0.900,9.133,20.907,10.048
0.910,9.342,20.992,7.048
0.920,9.552,21.048,4.048
0.930,9.763,21.073,1.048
0.940,9.974,21.069,-1.952
0.950,10.184,21.034,-4.952
0.960,10.394,20.97,-7.952
0.970,10.604,20.875,-10.952
0.980,10.812,20.772,-8.935
0.990,11.019,20.697,-5.935
1.000,11.226,20.653,-2.935
1.010,11.432,20.628,-3.44
1.020,11.638,20.579,-6.44
1.030,11.844,20.5,-9.44
1.040,12.048,20.39,-12.44
1.050,12.251,20.251,-15.44
1.060,12.453,20.081,-18.44
1.070,12.653,19.882,-21.44
1.080,12.851,19.653,-24.44
1.090,13.046,19.393,-27.44
1.100,13.238,19.104,-30.44
1.110,13.428,18.784,-33.44
1.120,13.614,18.435,-36.44
1.130,13.797,18.056,-39.44
1.140,13.975,17.646,-42.44
1.150,14.149,17.207,-45.44
1.160,14.319,16.737,-48.44
1.170,14.484,16.238,-51.44
1.180,14.644,15.709,-54.44
1.190,14.798,15.149,-57.44
1.200,14.947,14.56,-60.44
1.210,15.089,13.94,-63.44
1.220,15.225,13.291,-66.44
1.230,15.355,12.612,-69.44
1.240,15.477,11.902,-72.44
1.250,15.593,11.163,-75.44
1.260,15.701,10.393,-78.44
1.270,15.801,9.594,-81.44
1.280,15.892,8.765,-84.44
1.290,15.976,7.907,-86.102
1.300,16.051,7.061,-83.102
1.310,16.117,6.245,-80.102
1.320,16.176,5.459,-77.102
1.330,16.226,4.703,-74.102
1.340,16.27,3.977,-71.102
1.350,16.306,3.281,-68.102
1.360,16.335,2.615,-65.102
1.370,16.358,1.979,-62.102
1.380,16.375,1.372,-59.102
1.390,16.386,0.796,-56.102
1.400,16.391,0.25,-53.102
1.410,16.391,-0.266,-50.102
1.420,16.386,-0.752,-47.102
1.430,16.376,-1.208,-44.102
1.440,16.362,-1.634,-41.102
1.450,16.344,-2.03,-38.102
1.460,16.321,-2.396,-35.102
1.470,16.296,-2.732,-32.102
1.480,16.267,-3.038,-29.102
1.490,16.235,-3.314,-26.102
1.500,16.201,-3.56,-23.102
1.510,16.164,-3.776,-20.102
1.520,16.125,-3.962,-17.102
1.530,16.085,-4.118,-14.102
1.540,16.043,-4.244,-11.102
1.550,16.0,-4.34,-8.102
1.560,15.956,-4.406,-5.102
1.570,15.912,-4.442,-2.102
1.580,15.868,-4.449,0.0
