t,d1,v1,a1
0.010,15.0,-0.015,-3.0
0.020,15.0,-0.06,-6.0
0.030,14.999,-0.135,-9.0
0.040,14.997,-0.24,-12.0
0.050,14.994,-0.375,-15.0
0.060,14.989,-0.54,-18.0
0.070,14.983,-0.735,-21.0
0.080,14.974,-0.96,-24.0
0.090,14.964,-1.215,-27.0
0.100,14.95,-1.5,-30.0
0.110,14.933,-1.815,-33.0
0.120,14.914,-2.16,-36.0
0.130,14.89,-2.535,-39.0
0.140,14.863,-2.94,-42.0
0.150,14.831,-3.375,-45.0
0.160,14.795,-3.84,-48.0
0.170,14.754,-4.335,-51.0
0.180,14.708,-4.86,-54.0
0.190,14.657,-5.415,-57.0
0.200,14.6,-6.0,-60.0
0.210,14.537,-6.615,-63.0
0.220,14.468,-7.26,-66.0
0.230,14.392,-7.935,-69.0
0.240,14.309,-8.631,-68.628
0.250,14.219,-9.302,-65.628
0.260,14.123,-9.943,-62.628
0.270,14.02,-10.554,-59.628
0.280,13.912,-11.136,-56.628
0.290,13.798,-11.687,-53.628
0.300,13.678,-12.208,-50.628
0.310,13.554,-12.7,-47.628
0.320,13.424,-13.161,-44.628
0.330,13.291,-13.592,-41.628
0.340,13.153,-13.993,-38.628
0.350,13.011,-14.365,-35.628
0.360,12.865,-14.706,-32.628
0.370,12.717,-15.017,-29.628
0.380,12.565,-15.298,-26.628
0.390,12.411,-15.55,-23.628
0.400,12.254,-15.771,-20.628
0.410,12.096,-15.962,-17.628
0.420,11.935,-16.124,-14.628
0.430,11.773,-16.255,-11.628
0.440,11.61,-16.356,-8.628
0.450,11.446,-16.427,-5.628
0.460,11.282,-16.469,-2.628
0.470,11.117,-16.48,0.372
0.480,10.952,-16.461,3.372
0.490,10.788,-16.413,6.372
0.500,10.624,-16.334,9.372
0.510,10.461,-16.225,12.372
0.520,10.3,-16.086,15.372
0.530,10.14,-15.918,18.372
0.540,9.981,-15.719,21.372
0.550,9.825,-15.49,24.372
0.560,9.672,-15.232,27.372
0.570,9.521,-14.943,30.372
0.580,9.373,-14.624,33.372
0.590,9.228,-14.275,36.372
0.600,9.088,-13.897,39.372
0.610,8.951,-13.488,42.372
0.620,8.818,-13.049,45.372
0.630,8.69,-12.581,48.372
0.640,8.566,-12.082,51.372
0.650,8.448,-11.553,54.372
0.660,8.335,-10.994,57.136
0.670,8.228,-10.438,54.136
0.680,8.127,-9.912,51.136
0.690,8.03,-9.415,48.136
0.700,7.938,-8.949,45.136
0.710,7.851,-8.513,42.136
0.720,7.768,-8.106,39.136
0.730,7.689,-7.73,36.136
0.740,7.613,-7.384,33.136
0.750,7.541,-7.067,30.136
0.760,7.472,-6.781,27.136
0.770,7.405,-6.525,24.136
0.780,7.341,-6.298,21.136
0.790,7.279,-6.102,18.136
0.800,7.219,-5.935,15.136
0.810,7.16,-5.799,12.136
0.820,7.103,-5.693,9.136
0.830,7.046,-5.616,6.136
0.840,6.99,-5.57,3.136
0.850,6.935,-5.554,0.136
0.860,6.879,-5.565,-1.046
0.870,6.824,-5.566,0.0
0.880,6.768,-5.566,0.0
0.890,6.712,-5.566,0.0
0.900,6.657,-5.566,0.0
0.910,6.601,-5.566,0.0
0.920,6.545,-5.566,0.0
0.930,6.49,-5.566,0.0
0.940,6.434,-5.566,0.0
0.950,6.378,-5.566,0.0
0.960,6.323,-5.566,0.0
0.970,6.267,-5.566,0.0
