t,d1,v1,a1
0.010,15.0,0.015,3.0
0.020,15.0,0.06,6.0
0.030,15.001,0.135,9.0
0.040,15.003,0.24,12.0
0.050,15.006,0.375,15.0
0.060,15.011,0.54,18.0
0.070,15.017,0.735,21.0
0.080,15.026,0.96,24.0
0.090,15.036,1.215,27.0
0.100,15.05,1.5,30.0
0.110,15.067,1.815,33.0
0.120,15.086,2.16,36.0
0.130,15.11,2.523,35.165
0.140,15.137,2.859,32.165
0.150,15.167,3.166,29.165
0.160,15.2,3.443,26.165
0.170,15.236,3.689,23.165
0.180,15.274,3.906,20.165
0.190,15.314,4.093,17.165
0.200,15.355,4.249,14.165
0.210,15.399,4.376,11.165
0.220,15.443,4.473,8.165
0.230,15.488,4.539,5.165
0.240,15.534,4.576,2.165
0.250,15.579,4.584,0.0
0.260,15.625,4.584,0.0
0.270,15.671,4.584,0.0
0.280,15.717,4.584,0.0
0.290,15.763,4.581,-1.35
0.300,15.808,4.552,-4.35
0.310,15.854,4.494,-7.35
0.320,15.898,4.405,-10.35
0.330,15.942,4.287,-13.35
0.340,15.984,4.138,-16.35
0.350,16.024,3.96,-19.35
0.360,16.063,3.751,-22.35
0.370,16.099,3.513,-25.35
0.380,16.133,3.244,-28.35
0.390,16.164,2.946,-31.35
0.400,16.192,2.617,-34.35
0.410,16.216,2.259,-37.35
0.420,16.237,1.87,-40.35
0.430,16.254,1.452,-43.35
0.440,16.266,1.003,-46.35
0.450,16.274,0.525,-49.35
0.460,16.276,0.016,-52.35
0.470,16.274,-0.522,-55.35
0.480,16.266,-1.091,-58.35
0.490,16.252,-1.689,-61.35
0.500,16.232,-2.318,-64.35
0.510,16.205,-2.976,-67.35
0.520,16.172,-3.665,-70.35
0.530,16.132,-4.383,-73.35
0.540,16.084,-5.132,-76.35
0.550,16.029,-5.91,-79.35
0.560,15.966,-6.719,-82.35
0.570,15.895,-7.557,-85.35
0.580,15.815,-8.411,-84.145
0.590,15.727,-9.238,-81.145
0.600,15.63,-10.034,-78.145
0.610,15.526,-10.801,-75.145
0.620,15.414,-11.537,-72.145
0.630,15.295,-12.243,-69.145
0.640,15.17,-12.92,-66.145
0.650,15.037,-13.566,-63.145
0.660,14.898,-14.186,-60.542
0.670,14.754,-14.776,-57.542
0.680,14.603,-15.336,-54.542
0.690,14.447,-15.867,-51.542
0.700,14.286,-16.367,-48.542
0.710,14.12,-16.838,-45.542
0.720,13.949,-17.278,-42.542
0.730,13.774,-17.688,-39.542
0.740,13.595,-18.069,-36.542
0.750,13.413,-18.419,-33.542
0.760,13.227,-18.74,-30.542
0.770,13.038,-19.03,-27.542
0.780,12.847,-19.291,-24.542
0.790,12.652,-19.521,-21.542
0.800,12.456,-19.721,-18.542
0.810,12.258,-19.892,-15.542
0.820,12.059,-20.032,-12.542
0.830,11.858,-20.143,-9.542
0.840,11.656,-20.223,-6.542
0.850,11.453,-20.274,-3.542
0.860,11.25,-20.294,-0.542
0.870,11.047,-20.284,2.458
0.880,10.845,-20.245,5.458
0.890,10.643,-20.175,8.458
0.900,10.441,-20.076,11.458
0.910,10.241,-19.946,14.458
0.920,10.043,-19.787,17.458
0.930,9.846,-19.597,20.458
0.940,9.651,-19.377,23.458
0.950,9.458,-19.128,26.458
0.960,9.268,-18.848,29.458
0.970,9.081,-18.539,32.458
0.980,8.898,-18.199,35.458
0.990,8.717,-17.829,38.458
