t,d1,v1,a1
0.010,0.0,0.015,3.0
0.020,0.0,0.06,6.0
0.030,0.001,0.135,9.0
0.040,0.003,0.24,12.0
0.050,0.006,0.375,15.0
0.060,0.011,0.54,18.0
0.070,0.017,0.735,21.0
0.080,0.026,0.96,24.0
0.090,0.036,1.215,27.0
0.100,0.05,1.5,30.0
0.110,0.067,1.815,33.0
0.120,0.086,2.16,36.0
0.130,0.11,2.535,39.0
0.140,0.137,2.94,42.0
0.150,0.169,3.375,45.0
0.160,0.205,3.817,42.79
0.170,0.245,4.23,39.79
0.180,0.289,4.613,36.79
0.190,0.337,4.966,33.79
0.200,0.388,5.289,30.79
0.210,0.443,5.582,27.79
0.220,0.5,5.845,24.79
0.230,0.56,6.078,21.79
0.240,0.621,6.281,18.79
0.250,0.685,6.453,15.79
0.260,0.75,6.596,12.79
0.270,0.817,6.709,9.79
0.280,0.885,6.792,6.79
0.290,0.953,6.845,3.79
0.300,1.021,6.868,0.79
0.310,1.09,6.869,0.0
0.320,1.159,6.869,0.0
0.330,1.227,6.869,0.0
0.340,1.296,6.869,0.0
0.350,1.365,6.869,0.0
0.360,1.433,6.869,0.0
0.370,1.502,6.869,0.0
0.380,1.571,6.869,0.0
0.390,1.64,6.869,0.0
0.400,1.708,6.869,0.0
0.410,1.777,6.869,0.0
0.420,1.846,6.869,0.0
0.430,1.914,6.869,0.0
0.440,1.983,6.869,0.0
0.450,2.052,6.869,0.0
0.460,2.12,6.869,0.0
0.470,2.189,6.869,0.0
0.480,2.258,6.869,0.0
0.490,2.326,6.869,0.0
0.500,2.395,6.869,0.0
0.510,2.464,6.869,0.0
0.520,2.532,6.869,0.0
0.530,2.601,6.869,0.0
0.540,2.67,6.869,0.0
0.550,2.739,6.869,0.0
0.560,2.807,6.869,0.0
0.570,2.876,6.869,0.0
0.580,2.945,6.869,0.0
0.590,3.013,6.869,0.0
0.600,3.082,6.869,0.0
0.610,3.151,6.869,0.0
0.620,3.219,6.869,0.0
0.630,3.288,6.869,0.0
0.640,3.357,6.869,0.0
0.650,3.425,6.869,0.0
0.660,3.494,6.869,0.0
0.670,3.563,6.869,0.0
0.680,3.632,6.869,0.0
0.690,3.7,6.869,0.0
0.700,3.769,6.869,0.0
0.710,3.838,6.869,0.0
0.720,3.906,6.869,0.0
0.730,3.975,6.869,0.0
0.740,4.044,6.869,0.0
0.750,4.112,6.869,0.0
0.760,4.181,6.869,0.0
0.770,4.25,6.869,0.0
0.780,4.318,6.869,0.0
0.790,4.387,6.869,0.0
0.800,4.456,6.869,0.0
0.810,4.525,6.869,0.0
0.820,4.593,6.869,0.0
0.830,4.662,6.869,0.0
0.840,4.731,6.869,0.0
0.850,4.799,6.869,0.0
0.860,4.868,6.869,0.0
0.870,4.937,6.869,0.0
0.880,5.005,6.869,0.0
0.890,5.074,6.869,0.0
0.900,5.143,6.869,0.0
0.910,5.211,6.861,-2.218
0.920,5.28,6.824,-5.218
0.930,5.348,6.756,-8.218
0.940,5.415,6.659,-11.218
0.950,5.481,6.532,-14.218
0.960,5.545,6.375,-17.218
0.970,5.608,6.188,-20.218
0.980,5.669,5.971,-23.218
0.990,5.728,5.723,-26.218
1.000,5.783,5.446,-29.218
1.010,5.836,5.139,-32.218
1.020,5.886,4.802,-35.218
1.030,5.932,4.435,-38.218
1.040,5.975,4.037,-41.218
1.050,6.013,3.61,-44.218
1.060,6.047,3.164,-43.571
1.070,6.076,2.743,-40.571
1.080,6.102,2.353,-37.571
1.090,6.123,1.992,-34.571
1.100,6.142,1.661,-31.571
1.110,6.157,1.361,-28.571
1.120,6.169,1.09,-25.571
1.130,6.179,0.849,-22.571
1.140,6.186,0.638,-19.571
1.150,6.192,0.458,-16.571
1.160,6.195,0.307,-13.571
1.170,6.198,0.186,-10.571
1.180,6.199,0.096,-7.571
1.190,6.2,0.035,-4.571
1.200,6.2,0.004,-1.571
1.210,6.2,0.0,0.0
1.220,6.2,0.0,0.0
1.230,6.2,0.0,0.0
1.240,6.2,0.0,0.0
1.250,6.2,0.0,0.0
1.260,6.2,0.0,0.0
1.270,6.2,0.0,0.0
1.280,6.2,0.0,0.0
1.290,6.2,0.0,0.0
1.300,6.2,0.0,0.0
1.310,6.2,0.0,0.0
1.320,6.2,0.0,0.0
1.330,6.2,0.0,0.0
1.340,6.2,0.0,0.0
1.350,6.2,0.0,0.0
1.360,6.2,0.0,0.0
