t,d0,v0,a0
0.010,-2.0,0.0,0.0
0.020,-2.0,0.0,0.0
0.030,-2.0,0.0,0.0
0.040,-2.0,0.0,0.0
0.050,-2.0,0.0,0.0
0.060,-2.0,0.0,0.0
0.070,-2.0,0.0,0.0
0.080,-2.0,0.0,0.0
0.090,-2.0,0.0,0.0
0.100,-2.0,0.0,0.0
0.110,-2.0,0.0,0.0
0.120,-2.0,0.0,0.0
0.130,-2.0,0.0,0.0
0.140,-2.0,0.0,0.0
0.150,-2.0,0.0,0.0
0.160,-2.0,0.0,0.0
0.170,-2.0,0.0,0.0
0.180,-2.0,0.0,0.0
0.190,-2.0,0.0,0.0
0.200,-2.0,0.0,0.0
0.210,-2.0,0.0,0.0
0.220,-2.0,0.0,0.0
0.230,-2.0,0.0,0.0
0.240,-2.0,0.0,0.0
0.250,-2.0,0.0,0.0
0.260,-2.0,0.0,0.0
0.270,-2.0,0.0,0.0
0.280,-2.0,0.0,0.0
0.290,-2.0,0.0,0.0
0.300,-2.0,0.0,0.0
0.310,-2.0,0.0,0.0
0.320,-2.0,0.0,0.0
0.330,-2.0,0.0,0.0
0.340,-2.0,0.0,0.0
0.350,-2.0,0.0,0.0
0.360,-2.0,0.0,0.0
0.370,-2.0,0.0,0.0
