t,d0,v0,a0
0.010,-2.0,0.0,0.0
0.020,-2.0,0.0,0.0
0.030,-2.0,0.0,0.0
0.040,-2.0,0.0,0.0
0.050,-2.0,0.0,0.0
0.060,-2.0,0.0,0.0
0.070,-2.0,0.0,0.0
0.080,-2.0,0.0,0.0
0.090,-2.0,0.0,0.0
0.100,-2.0,0.0,0.0
0.110,-2.0,0.0,0.0
0.120,-2.0,0.0,0.0
0.130,-2.0,0.0,0.0
0.140,-2.0,0.0,0.0
0.150,-2.0,0.0,0.0
0.160,-2.0,0.0,0.0
0.170,-2.0,0.0,0.0
0.180,-2.0,0.0,0.0
0.190,-2.0,0.0,0.0
0.200,-2.0,0.0,0.0
0.210,-2.0,0.0,0.0
0.220,-2.0,0.0,0.0
0.230,-2.0,0.0,0.0
0.240,-2.0,0.0,0.0
0.250,-2.0,0.0,0.0
0.260,-2.0,0.0,0.0
0.270,-2.0,0.0,0.0
0.280,-2.0,0.0,0.0
0.290,-2.0,0.0,0.0
0.300,-2.0,0.0,0.0
0.310,-2.0,0.0,0.0
0.320,-2.0,0.0,0.0
0.330,-2.0,0.0,0.0
0.340,-2.0,0.0,0.0
0.350,-2.0,0.0,0.0
0.360,-2.0,0.0,0.0
0.370,-2.0,0.0,0.0
0.380,-2.0,0.0,0.0
0.390,-2.0,0.0,0.0
0.400,-2.0,0.0,0.0
0.410,-2.0,0.0,0.0
0.420,-2.0,0.0,0.0
0.430,-2.0,0.0,0.0
0.440,-2.0,0.0,0.0
0.450,-2.0,0.0,0.0
0.460,-2.0,0.0,0.0
0.470,-2.0,0.0,0.0
0.480,-2.0,0.0,0.0
0.490,-2.0,0.0,0.0
0.500,-2.0,0.0,0.0
0.510,-2.0,0.0,0.0
0.520,-2.0,0.0,0.0
0.530,-2.0,0.0,0.0
0.540,-2.0,0.0,0.0
0.550,-2.0,0.0,0.0
0.560,-2.0,0.0,0.0
0.570,-2.0,0.0,0.0
0.580,-2.0,0.0,0.0
0.590,-2.0,0.0,0.0
0.600,-2.0,0.0,0.0
0.610,-2.0,0.0,0.0
0.620,-2.0,0.0,0.0
0.630,-2.0,0.0,0.0
0.640,-2.0,0.0,0.0
0.650,-2.0,0.0,0.0
0.660,-2.0,0.0,0.0
0.670,-2.0,0.0,0.0
0.680,-2.0,0.0,0.0
0.690,-2.0,0.0,0.0
0.700,-2.0,0.0,0.0
0.710,-2.0,0.0,0.0
0.720,-2.0,0.0,0.0
0.730,-2.0,0.0,0.0
0.740,-2.0,0.0,0.0
0.750,-2.0,0.0,0.0
0.760,-2.0,0.0,0.0
0.770,-2.0,0.0,0.0
0.780,-2.0,0.0,0.0
0.790,-2.0,0.0,0.0
0.800,-2.0,0.0,0.0
0.810,-2.0,0.0,0.0
0.820,-2.0,0.0,0.0
0.830,-2.0,0.0,0.0
0.840,-2.0,0.0,0.0
0.850,-2.0,0.0,0.0
0.860,-2.0,0.0,0.0
0.870,-2.0,0.0,0.0
0.880,-2.0,0.0,0.0
0.890,-2.0,0.0,0.0
0.900,-2.0,0.0,0.0
0.910,-2.0,0.0,0.0
0.920,-2.0,0.0,0.0
