t,d0,v0,a0
0.010,54.0,0.025,5.0
0.020,54.001,0.099,8.434
0.030,54.002,0.158,3.434
0.040,54.004,0.17,0.0
0.050,54.005,0.17,0.0
0.060,54.007,0.17,0.0
0.070,54.009,0.17,0.0
0.080,54.01,0.17,0.0
0.090,54.012,0.17,0.0
0.100,54.014,0.17,0.0
0.110,54.016,0.17,0.0
0.120,54.017,0.17,0.0
0.130,54.019,0.17,0.0
0.140,54.021,0.17,0.0
0.150,54.022,0.17,0.0
0.160,54.024,0.17,0.0
0.170,54.026,0.17,0.0
0.180,54.027,0.17,0.0
0.190,54.029,0.17,0.0
0.200,54.031,0.17,0.0
0.210,54.033,0.17,0.0
0.220,54.034,0.17,0.0
0.230,54.036,0.17,0.0
0.240,54.038,0.17,0.0
0.250,54.039,0.17,0.0
0.260,54.041,0.17,0.0
0.270,54.043,0.17,0.0
0.280,54.044,0.17,0.0
0.290,54.046,0.17,0.0
0.300,54.048,0.17,0.0
0.310,54.05,0.17,0.0
0.320,54.051,0.17,0.0
0.330,54.053,0.17,0.0
0.340,54.055,0.17,0.0
0.350,54.056,0.17,0.0
0.360,54.058,0.17,0.0
0.370,54.06,0.17,0.0
0.380,54.061,0.17,0.0
0.390,54.063,0.176,2.504
0.400,54.065,0.226,7.504
0.410,54.068,0.326,12.504
0.420,54.072,0.476,17.504
0.430,54.078,0.676,22.162
0.440,54.085,0.873,17.162
0.450,54.095,1.02,12.162
0.460,54.106,1.116,7.162
0.470,54.117,1.163,2.162
0.480,54.129,1.159,-2.838
0.490,54.14,1.106,-7.838
0.500,54.151,1.003,-12.838
0.510,54.16,0.849,-17.838
0.520,54.167,0.646,-22.838
0.530,54.173,0.393,-27.838
0.540,54.175,0.089,-32.838
0.550,54.174,-0.264,-37.838
0.560,54.17,-0.668,-42.838
0.570,54.161,-1.121,-47.838
0.580,54.147,-1.624,-52.838
0.590,54.128,-2.178,-57.838
0.600,54.103,-2.781,-62.838
0.610,54.072,-3.434,-67.838
0.620,54.034,-4.138,-72.838
0.630,53.989,-4.891,-77.838
0.640,53.936,-5.695,-82.838
0.650,53.875,-6.548,-87.838
0.660,53.805,-7.451,-92.838
0.670,53.726,-8.405,-97.838
0.680,53.637,-9.408,-102.838
0.690,53.538,-10.462,-107.838
0.700,53.428,-11.565,-112.838
0.710,53.306,-12.718,-117.838
0.720,53.173,-13.922,-122.838
0.730,53.028,-15.175,-127.838
0.740,52.869,-16.478,-132.838
0.750,52.698,-17.832,-137.838
0.760,52.513,-19.235,-142.838
0.770,52.313,-20.689,-147.838
0.780,52.099,-22.184,-150.0
0.790,51.869,-23.684,-150.0
0.800,51.625,-25.184,-150.0
0.810,51.366,-26.684,-150.0
0.820,51.091,-28.184,-150.0
0.830,50.802,-29.684,-150.0
0.840,50.498,-31.184,-150.0
0.850,50.178,-32.684,-150.0
0.860,49.844,-34.184,-150.0
0.870,49.495,-35.684,-150.0
0.880,49.13,-37.184,-150.0
0.890,48.751,-38.684,-150.0
0.900,48.357,-40.184,-150.0
0.910,47.947,-41.684,-150.0
0.920,47.523,-43.184,-150.0
0.930,47.084,-44.684,-150.0
0.940,46.629,-46.184,-150.0
0.950,46.16,-47.684,-150.0
0.960,45.676,-49.169,-146.099
0.970,45.177,-50.605,-141.099
0.980,44.664,-51.991,-136.099
0.990,44.137,-53.327,-131.099
1.000,43.597,-54.613,-126.099
1.010,43.045,-55.849,-121.099
1.020,42.481,-57.035,-116.099
1.030,41.905,-58.171,-111.099
1.040,41.317,-59.257,-106.099
1.050,40.72,-60.293,-101.099
1.060,40.112,-61.278,-96.099
1.070,39.494,-62.214,-91.099
1.080,38.868,-63.1,-86.099
1.090,38.232,-63.936,-81.099
1.100,37.589,-64.722,-76.099
1.110,36.938,-65.458,-71.099
1.120,36.28,-66.144,-66.099
1.130,35.615,-66.78,-61.099
1.140,34.945,-67.366,-56.099
1.150,34.268,-67.902,-51.099
1.160,33.587,-68.388,-46.099
1.170,32.901,-68.824,-41.099
1.180,32.21,-69.21,-36.099
1.190,31.517,-69.546,-31.099
1.200,30.82,-69.832,-26.099
1.210,30.12,-70.068,-21.099
1.220,29.418,-70.254,-16.099
1.230,28.715,-70.39,-11.099
1.240,28.011,-70.476,-6.099
1.250,27.306,-70.512,-1.099
1.260,26.601,-70.498,3.901
1.270,25.896,-70.434,8.901
1.280,25.192,-70.32,13.901
1.290,24.49,-70.156,18.901
1.300,23.789,-69.942,23.901
1.310,23.091,-69.678,28.901
1.320,22.396,-69.364,33.901
1.330,21.704,-69.0,38.901
1.340,21.016,-68.586,43.901
1.350,20.332,-68.122,48.901
1.360,19.654,-67.608,53.901
1.370,18.98,-67.044,58.901
1.380,18.313,-66.43,63.901
1.390,17.652,-65.766,68.901
1.400,16.998,-65.052,73.901
1.410,16.351,-64.288,78.901
1.420,15.712,-63.474,83.901
1.430,15.082,-62.61,88.901
1.440,14.46,-61.696,93.901
1.450,13.848,-60.732,98.901
1.460,13.246,-59.718,103.901
1.470,12.654,-58.654,108.901
1.480,12.073,-57.54,113.901
1.490,11.503,-56.376,118.901
1.500,10.945,-55.162,123.901
