t,d0,v0,a0
0.010,54.0,0.025,5.0
0.020,54.001,0.1,10.0
0.030,54.002,0.225,15.0
0.040,54.005,0.4,20.0
0.050,54.01,0.625,25.0
0.060,54.018,0.9,30.0
0.070,54.029,1.225,35.0
0.080,54.043,1.6,40.0
0.090,54.061,2.025,45.0
0.100,54.083,2.5,50.0
0.110,54.111,3.025,55.0
0.120,54.144,3.6,60.0
0.130,54.183,4.225,65.0
0.140,54.229,4.9,70.0
0.150,54.281,5.605,68.725
0.160,54.341,6.268,63.725
0.170,54.406,6.88,58.725
0.180,54.478,7.442,53.725
0.190,54.555,7.954,48.725
0.200,54.637,8.417,43.725
0.210,54.723,8.829,38.725
0.220,54.813,9.191,33.725
0.230,54.907,9.503,28.725
0.240,55.003,9.766,23.725
0.250,55.102,9.978,18.725
0.260,55.203,10.14,13.725
0.270,55.305,10.252,8.725
0.280,55.408,10.315,3.725
0.290,55.511,10.329,0.0
0.300,55.614,10.329,0.0
0.310,55.717,10.329,0.0
0.320,55.821,10.329,0.0
0.330,55.924,10.329,0.0
0.340,56.027,10.329,0.0
0.350,56.131,10.329,0.0
0.360,56.234,10.329,0.0
0.370,56.337,10.329,0.0
0.380,56.44,10.329,0.0
0.390,56.544,10.329,0.0
0.400,56.647,10.324,-2.103
0.410,56.75,10.278,-7.103
0.420,56.852,10.182,-12.103
0.430,56.953,10.036,-17.103
0.440,57.053,9.84,-22.103
0.450,57.15,9.594,-27.103
0.460,57.245,9.298,-32.103
0.470,57.336,8.952,-37.103
0.480,57.423,8.556,-42.103
0.490,57.507,8.11,-47.103
0.500,57.585,7.614,-52.103
0.510,57.659,7.068,-57.103
0.520,57.727,6.472,-62.103
0.530,57.788,5.826,-67.103
0.540,57.843,5.13,-72.103
0.550,57.891,4.384,-77.103
0.560,57.931,3.588,-82.103
0.570,57.962,2.742,-87.103
0.580,57.985,1.846,-92.103
0.590,57.999,0.899,-97.103
0.600,58.003,-0.097,-102.103
0.610,57.997,-1.143,-107.103
0.620,57.98,-2.239,-112.103
0.630,57.952,-3.385,-117.103
0.640,57.912,-4.581,-122.103
0.650,57.86,-5.827,-127.103
0.660,57.795,-7.123,-132.103
0.670,57.718,-8.469,-137.103
0.680,57.626,-9.865,-142.103
0.690,57.52,-11.311,-147.103
0.700,57.4,-12.802,-150.0
0.710,57.264,-14.302,-150.0
0.720,57.113,-15.802,-150.0
0.730,56.948,-17.302,-150.0
0.740,56.767,-18.802,-150.0
0.750,56.572,-20.302,-150.0
0.760,56.361,-21.802,-150.0
0.770,56.136,-23.302,-150.0
0.780,55.895,-24.802,-150.0
0.790,55.64,-26.302,-150.0
0.800,55.369,-27.802,-150.0
0.810,55.084,-29.302,-150.0
0.820,54.783,-30.802,-150.0
0.830,54.468,-32.302,-150.0
0.840,54.137,-33.802,-150.0
0.850,53.792,-35.302,-150.0
0.860,53.431,-36.802,-150.0
0.870,53.056,-38.302,-150.0
0.880,52.665,-39.802,-150.0
0.890,52.26,-41.302,-150.0
0.900,51.839,-42.802,-150.0
0.910,51.403,-44.302,-150.0
0.920,50.953,-45.802,-150.0
0.930,50.487,-47.302,-150.0
0.940,50.007,-48.802,-150.0
0.950,49.511,-50.302,-150.0
0.960,49.001,-51.8,-148.478
0.970,48.476,-53.26,-143.478
0.980,47.936,-54.67,-138.478
0.990,47.382,-56.029,-133.478
1.000,46.815,-57.339,-128.478
1.010,46.236,-58.599,-123.478
1.020,45.644,-59.809,-118.478
1.030,45.04,-60.969,-113.478
1.040,44.424,-62.078,-108.478
