t,d0,v0,a0
0.010,59.0,0.0,0.0
0.020,59.0,0.0,0.0
0.030,59.0,0.0,0.0
0.040,59.0,0.0,0.0
0.050,59.0,0.0,0.0
0.060,59.0,0.0,0.0
0.070,59.0,0.0,0.0
0.080,59.0,0.0,0.0
0.090,59.0,0.0,0.0
0.100,59.0,0.0,0.0
0.110,59.0,0.0,0.0
0.120,59.0,0.0,0.0
0.130,59.0,0.0,0.0
0.140,59.0,0.0,0.0
0.150,59.0,0.0,0.0
0.160,59.0,0.0,0.0
0.170,59.0,0.0,0.0
0.180,59.0,0.0,0.0
0.190,59.0,0.0,0.0
0.200,59.0,0.0,0.0
0.210,59.0,0.0,0.0
0.220,59.0,0.0,0.0
0.230,59.0,0.0,0.0
0.240,59.0,0.0,0.0
0.250,59.0,0.0,0.0
0.260,59.0,0.0,0.0
0.270,59.0,0.0,0.0
0.280,59.0,0.0,0.0
0.290,59.0,0.0,0.0
0.300,59.0,0.0,0.0
0.310,59.0,0.0,0.0
0.320,59.0,0.0,0.0
0.330,59.0,0.0,0.0
0.340,59.0,0.0,0.0
0.350,59.0,0.0,0.0
0.360,59.0,0.0,0.0
0.370,59.0,0.0,0.0
0.380,59.0,0.0,0.0
0.390,59.0,0.0,0.0
0.400,59.0,0.0,0.0
0.410,59.0,0.0,0.0
0.420,59.0,0.0,0.0
0.430,59.0,0.0,0.0
0.440,59.0,0.0,0.0
0.450,59.0,0.0,0.0
0.460,59.0,0.0,0.0
0.470,59.0,0.0,0.0
0.480,59.0,0.0,0.0
0.490,59.0,0.0,0.0
0.500,59.0,0.0,0.0
0.510,59.0,0.0,0.0
0.520,59.0,0.0,0.0
0.530,59.0,0.0,0.0
0.540,59.0,0.0,0.0
0.550,59.0,0.0,0.0
0.560,59.0,0.0,0.0
0.570,59.0,0.0,0.0
0.580,59.0,0.0,0.0
0.590,59.0,0.0,0.0
0.600,59.0,0.0,0.0
0.610,59.0,0.0,0.0
0.620,59.0,0.0,0.0
0.630,59.0,0.0,0.0
0.640,59.0,0.0,0.0
0.650,59.0,0.0,0.0
0.660,59.0,0.0,0.0
0.670,59.0,0.0,0.0
0.680,59.0,0.0,0.0
0.690,59.0,0.0,0.0
0.700,59.0,0.0,0.0
0.710,59.0,0.0,0.0
0.720,59.0,0.0,0.0
0.730,59.0,0.0,0.0
0.740,59.0,0.0,0.0
0.750,59.0,0.0,0.0
0.760,59.0,0.0,0.0
0.770,59.0,0.0,0.0
0.780,59.0,0.0,0.0
0.790,59.0,0.0,0.0
0.800,59.0,0.0,0.0
0.810,59.0,0.0,0.0
0.820,59.0,0.0,0.0
0.830,59.0,0.0,0.0
0.840,59.0,0.0,0.0
0.850,59.0,0.0,0.0
0.860,59.0,0.0,0.0
0.870,59.0,0.0,0.0
0.880,59.0,0.0,0.0
0.890,59.0,0.0,0.0
0.900,59.0,0.0,0.0
0.910,59.0,0.0,0.0
0.920,59.0,0.0,0.0
0.930,59.0,0.0,0.0
0.940,59.0,0.0,0.0
0.950,59.0,0.0,0.0
0.960,59.0,0.0,0.0
0.970,59.0,0.0,0.0
0.980,59.0,0.0,0.0
0.990,59.0,0.0,0.0
1.000,59.0,0.0,0.0
1.010,59.0,0.0,0.0
1.020,59.0,0.0,0.0
1.030,59.0,0.0,0.0
1.040,59.0,0.0,0.0
1.050,59.0,0.0,0.0
1.060,59.0,0.0,0.0
1.070,59.0,0.0,0.0
1.080,59.0,0.0,0.0
1.090,59.0,0.0,0.0
1.100,59.0,0.0,0.0
1.110,59.0,0.0,0.0
1.120,59.0,0.0,0.0
1.130,59.0,0.0,0.0
1.140,59.0,0.0,0.0
1.150,59.0,0.0,0.0
1.160,59.0,-0.017,-4.146
1.170,58.999,-0.084,-9.146
1.180,58.998,-0.2,-14.146
1.190,58.995,-0.367,-19.146
1.200,58.991,-0.583,-24.146
1.210,58.983,-0.85,-29.146
1.220,58.973,-1.166,-34.146
1.230,58.96,-1.532,-39.146
1.240,58.943,-1.949,-44.146
1.250,58.921,-2.415,-49.146
1.260,58.894,-2.932,-54.146
1.270,58.862,-3.498,-59.146
1.280,58.824,-4.115,-64.146
1.290,58.78,-4.781,-69.146
1.300,58.728,-5.498,-74.146
1.310,58.67,-6.228,-70.696
1.320,58.604,-6.91,-65.696
1.330,58.532,-7.542,-60.696
1.340,58.453,-8.124,-55.696
1.350,58.369,-8.656,-50.696
1.360,58.28,-9.138,-45.696
1.370,58.187,-9.57,-40.696
1.380,58.089,-9.952,-35.696
1.390,57.988,-10.284,-30.696
1.400,57.883,-10.566,-25.696
1.410,57.777,-10.798,-20.696
1.420,57.668,-10.98,-15.696
1.430,57.557,-11.112,-10.696
1.440,57.446,-11.194,-5.696
1.450,57.333,-11.226,-0.696
1.460,57.221,-11.226,0.0
1.470,57.109,-11.226,0.0
1.480,56.997,-11.226,0.0
1.490,56.884,-11.226,0.0
1.500,56.772,-11.226,0.0
1.510,56.66,-11.226,0.0
1.520,56.548,-11.226,0.0
1.530,56.435,-11.226,0.0
1.540,56.323,-11.226,0.0
1.550,56.211,-11.226,0.0
1.560,56.099,-11.226,0.0
1.570,55.986,-11.226,0.0
1.580,55.874,-11.226,0.0
1.590,55.762,-11.226,0.0
1.600,55.649,-11.224,1.457
1.610,55.537,-11.185,6.457
1.620,55.426,-11.095,11.457
1.630,55.316,-10.956,16.457
1.640,55.207,-10.766,21.457
1.650,55.101,-10.526,26.457
1.660,54.997,-10.237,31.457
1.670,54.896,-9.897,36.457
1.680,54.799,-9.508,41.457
1.690,54.706,-9.068,46.457
1.700,54.618,-8.579,51.457
1.710,54.535,-8.039,56.457
1.720,54.457,-7.449,61.457
1.730,54.386,-6.81,66.457
1.740,54.321,-6.12,71.457
1.750,54.263,-5.385,73.386
1.760,54.213,-4.677,68.386
1.770,54.17,-4.018,63.386
1.780,54.133,-3.409,58.386
1.790,54.101,-2.85,53.386
1.800,54.076,-2.341,48.386
1.810,54.054,-1.882,43.386
1.820,54.038,-1.473,38.386
1.830,54.025,-1.115,33.386
1.840,54.015,-0.806,28.386
1.850,54.009,-0.547,23.386
1.860,54.004,-0.338,18.386
1.870,54.002,-0.179,13.386
1.880,54.0,-0.07,8.386
1.890,54.0,-0.011,3.386
1.900,54.0,0.0,0.0
