t,d0,v0,a0
0.010,0.0,0.025,5.0
0.020,0.001,0.1,10.0
0.030,0.002,0.225,15.0
0.040,0.005,0.4,20.0
0.050,0.01,0.625,25.0
0.060,0.018,0.9,30.0
0.070,0.029,1.225,35.0
0.080,0.043,1.6,40.0
0.090,0.061,2.025,45.0
0.100,0.083,2.5,50.0
0.110,0.111,3.025,55.0
0.120,0.144,3.6,60.0
0.130,0.183,4.225,65.0
0.140,0.229,4.9,70.0
0.150,0.281,5.625,75.0
0.160,0.341,6.4,80.0
0.170,0.409,7.225,85.0
0.180,0.486,8.1,90.0
0.190,0.572,9.025,95.0
0.200,0.667,10.0,100.0
0.210,0.772,11.025,105.0
0.220,0.887,12.1,110.0
0.230,1.014,13.225,115.0
0.240,1.152,14.4,120.0
0.250,1.302,15.625,125.0
0.260,1.465,16.9,130.0
0.270,1.64,18.225,135.0
0.280,1.829,19.6,140.0
0.290,2.032,21.025,145.0
0.300,2.25,22.5,150.0
0.310,2.483,24.0,150.0
0.320,2.73,25.5,150.0
0.330,2.993,27.0,150.0
0.340,3.27,28.5,150.0
0.350,3.563,30.0,150.0
0.360,3.87,31.5,150.0
0.370,4.193,33.0,150.0
0.380,4.53,34.5,150.0
0.390,4.883,36.0,150.0
0.400,5.25,37.5,150.0
0.410,5.633,39.0,150.0
0.420,6.03,40.5,150.0
0.430,6.443,42.0,150.0
0.440,6.87,43.5,150.0
0.450,7.313,45.0,150.0
0.460,7.77,46.5,150.0
0.470,8.243,48.0,150.0
0.480,8.73,49.5,150.0
0.490,9.233,51.0,150.0
0.500,9.75,52.485,146.152
0.510,10.282,53.922,141.152
0.520,10.828,55.308,136.152
0.530,11.388,56.645,131.152
0.540,11.961,57.931,126.152
0.550,12.546,59.168,121.152
0.560,13.144,60.354,116.152
0.570,13.753,61.491,111.152
0.580,14.374,62.577,106.152
0.590,15.005,63.614,101.152
0.600,15.646,64.6,96.152
0.610,16.297,65.537,91.152
0.620,16.956,66.423,86.152
0.630,17.625,67.26,81.152
0.640,18.302,68.047,76.152
0.650,18.986,68.783,71.152
0.660,19.677,69.47,66.152
0.670,20.375,70.106,61.152
0.680,21.079,70.693,56.152
0.690,21.789,71.229,51.152
0.700,22.503,71.716,46.152
0.710,23.223,72.152,41.152
0.720,23.946,72.539,36.152
0.730,24.673,72.875,31.152
0.740,25.404,73.162,26.152
0.750,26.136,73.398,21.152
0.760,26.871,73.585,16.152
0.770,27.608,73.721,11.152
0.780,28.346,73.808,6.152
0.790,29.084,73.844,1.152
0.800,29.822,73.831,-3.848
0.810,30.56,73.767,-8.848
0.820,31.298,73.654,-13.848
0.830,32.033,73.491,-18.848
0.840,32.767,73.277,-23.848
0.850,33.499,73.014,-28.848
0.860,34.227,72.7,-33.848
0.870,34.953,72.337,-38.848
0.880,35.674,71.923,-43.848
0.890,36.391,71.46,-48.848
0.900,37.103,70.946,-53.848
0.910,37.81,70.383,-58.848
0.920,38.51,69.769,-63.848
0.930,39.205,69.106,-68.848
0.940,39.892,68.392,-73.848
0.950,40.572,67.629,-78.848
0.960,41.245,66.815,-83.848
0.970,41.909,65.952,-88.848
0.980,42.564,65.038,-93.848
0.990,43.209,64.075,-98.848
1.000,43.845,63.061,-103.848
1.010,44.47,61.998,-108.848
1.020,45.085,60.884,-113.848
1.030,45.688,59.721,-118.848
1.040,46.279,58.508,-123.848
1.050,46.858,57.244,-128.848
1.060,47.424,55.931,-133.848
1.070,47.976,54.567,-138.848
1.080,48.515,53.154,-143.848
1.090,49.039,51.69,-148.848
1.100,49.549,50.191,-150.0
1.110,50.043,48.691,-150.0
1.120,50.522,47.191,-150.0
1.130,50.987,45.691,-150.0
1.140,51.436,44.191,-150.0
1.150,51.871,42.691,-150.0
1.160,52.29,41.191,-150.0
1.170,52.694,39.691,-150.0
1.180,53.084,38.191,-150.0
1.190,53.458,36.691,-150.0
1.200,53.818,35.191,-150.0
1.210,54.162,33.691,-150.0
1.220,54.492,32.191,-150.0
1.230,54.806,30.691,-150.0
1.240,55.105,29.191,-150.0
1.250,55.39,27.691,-150.0
1.260,55.659,26.191,-150.0
1.270,55.914,24.691,-150.0
1.280,56.153,23.191,-150.0
1.290,56.377,21.691,-150.0
1.300,56.587,20.191,-150.0
1.310,56.781,18.691,-150.0
1.320,56.961,17.191,-150.0
1.330,57.125,15.691,-150.0
1.340,57.275,14.191,-150.0
1.350,57.409,12.691,-150.0
1.360,57.528,11.202,-146.733
1.370,57.633,9.76,-141.733
1.380,57.724,8.368,-136.733
1.390,57.801,7.025,-131.733
1.400,57.864,5.733,-126.733
1.410,57.915,4.491,-121.733
1.420,57.954,3.298,-116.733
1.430,57.982,2.156,-111.733
1.440,57.998,1.064,-106.733
1.450,58.003,0.021,-101.733
1.460,57.998,-0.971,-96.733
1.470,57.984,-1.913,-91.733
1.480,57.96,-2.806,-86.733
1.490,57.928,-3.648,-81.733
1.500,57.887,-4.44,-76.733
1.510,57.839,-5.183,-71.733
1.520,57.784,-5.875,-66.733
1.530,57.722,-6.517,-61.733
1.540,57.654,-7.11,-56.733
1.550,57.58,-7.652,-51.733
1.560,57.501,-8.144,-46.733
1.570,57.417,-8.587,-41.733
1.580,57.329,-8.979,-36.733
1.590,57.238,-9.321,-31.733
1.600,57.143,-9.614,-26.733
1.610,57.046,-9.856,-21.733
1.620,56.946,-10.048,-16.733
1.630,56.845,-10.191,-11.733
1.640,56.742,-10.283,-6.733
1.650,56.639,-10.325,-1.733
1.660,56.536,-10.329,0.0
1.670,56.433,-10.329,0.0
1.680,56.329,-10.329,0.0
1.690,56.226,-10.329,0.0
1.700,56.123,-10.329,0.0
1.710,56.02,-10.329,0.0
1.720,55.916,-10.329,0.0
1.730,55.813,-10.329,0.0
1.740,55.71,-10.329,0.0
1.750,55.606,-10.329,0.0
1.760,55.503,-10.329,0.0
1.770,55.4,-10.312,4.095
1.780,55.297,-10.246,9.095
1.790,55.195,-10.13,14.095
1.800,55.095,-9.964,19.095
1.810,54.996,-9.748,24.095
1.820,54.9,-9.482,29.095
1.830,54.807,-9.166,34.095
1.840,54.717,-8.8,39.095
1.850,54.631,-8.384,44.095
1.860,54.549,-7.918,49.095
1.870,54.473,-7.402,54.095
1.880,54.401,-6.836,59.095
1.890,54.336,-6.22,64.095
1.900,54.277,-5.554,69.095
1.910,54.225,-4.848,69.63
1.920,54.18,-4.177,64.63
1.930,54.141,-3.556,59.63
1.940,54.109,-2.984,54.63
1.950,54.081,-2.463,49.63
1.960,54.059,-1.992,44.63
1.970,54.041,-1.571,39.63
1.980,54.028,-1.199,34.63
1.990,54.017,-0.878,29.63
2.000,54.01,-0.607,24.63
2.010,54.005,-0.385,19.63
2.020,54.002,-0.214,14.63
2.030,54.001,-0.093,9.63
2.040,54.0,-0.021,4.63
2.050,54.0,-0.0,0.0
