t,d2,v2,a2
0.010,139.999,-0.3,-60.0
0.020,139.992,-1.2,-120.0
0.030,139.973,-2.7,-180.0
0.040,139.936,-4.8,-240.0
0.050,139.875,-7.5,-300.0
0.060,139.784,-10.8,-360.0
0.070,139.657,-14.7,-420.0
0.080,139.488,-19.2,-480.0
0.090,139.271,-24.3,-540.0
0.100,139.002,-29.498,-490.272
0.110,138.683,-34.101,-430.272
0.120,138.322,-38.104,-370.272
0.130,137.923,-41.506,-310.272
0.140,137.493,-44.309,-250.272
0.150,137.039,-46.512,-190.272
0.160,136.565,-48.115,-130.272
0.170,136.078,-49.117,-70.272
0.180,135.585,-49.52,-10.272
0.190,135.09,-49.323,49.728
0.200,134.6,-48.526,109.728
0.210,134.122,-47.128,169.728
0.220,133.66,-45.131,229.728
0.230,133.221,-42.534,289.728
0.240,132.811,-39.336,349.728
0.250,132.436,-35.539,409.728
0.260,132.102,-31.142,469.728
0.270,131.815,-26.145,529.728
0.280,131.581,-20.879,500.545
0.290,131.396,-16.173,440.545
0.300,131.255,-12.068,380.545
0.310,131.152,-8.562,320.545
0.320,131.082,-5.657,260.545
0.330,131.037,-3.352,200.545
0.340,131.013,-1.646,140.545
0.350,131.002,-0.541,80.545
0.360,131.0,-0.035,20.545
0.370,131.0,0.0,0.0
