t,d2,v2,a2
0.010,139.999,-0.3,-60.0
0.020,139.992,-1.2,-120.0
0.030,139.973,-2.7,-180.0
0.040,139.936,-4.8,-240.0
0.050,139.875,-7.5,-300.0
0.060,139.784,-10.8,-360.0
0.070,139.657,-14.7,-420.0
0.080,139.488,-19.2,-480.0
0.090,139.271,-24.3,-540.0
0.100,139.0,-30.0,-600.0
0.110,138.669,-36.3,-660.0
0.120,138.272,-43.2,-720.0
0.130,137.803,-50.7,-780.0
0.140,137.256,-58.8,-840.0
0.150,136.625,-67.5,-900.0
0.160,135.904,-76.8,-960.0
0.170,135.087,-86.7,-1020.0
0.180,134.168,-97.2,-1080.0
0.190,133.141,-108.3,-1140.0
0.200,132.0,-120.0,-1200.0
0.210,130.74,-132.0,-1200.0
0.220,129.36,-144.0,-1200.0
0.230,127.86,-156.0,-1200.0
0.240,126.24,-168.0,-1200.0
0.250,124.5,-180.0,-1200.0
0.260,122.641,-191.7,-1140.0
0.270,120.668,-202.8,-1080.0
0.280,118.587,-213.3,-1020.0
0.290,116.404,-223.2,-960.0
0.300,114.125,-232.5,-900.0
0.310,111.756,-241.2,-840.0
0.320,109.303,-249.3,-780.0
0.330,106.772,-256.8,-720.0
0.340,104.169,-263.7,-660.0
0.350,101.5,-270.0,-600.0
0.360,98.771,-275.7,-540.0
0.370,95.988,-280.8,-480.0
0.380,93.157,-285.3,-420.0
0.390,90.284,-289.2,-360.0
0.400,87.375,-292.5,-300.0
0.410,84.436,-295.2,-240.0
0.420,81.473,-297.3,-180.0
0.430,78.492,-298.8,-120.0
0.440,75.499,-299.7,-60.0
0.450,72.5,-300.0,0.0
0.460,69.5,-300.0,0.0
0.470,66.5,-299.967,20.0
0.480,63.502,-299.467,80.0
0.490,60.513,-298.367,140.0
0.500,57.537,-296.667,200.0
0.510,54.581,-294.367,260.0
0.520,51.652,-291.467,320.0
0.530,48.754,-287.967,380.0
0.540,45.894,-283.867,440.0
0.550,43.079,-279.167,500.0
0.560,40.313,-273.867,560.0
0.570,37.603,-267.967,620.0
0.580,34.956,-261.467,680.0
0.590,32.376,-254.367,740.0
0.600,29.87,-246.667,800.0
0.610,27.445,-238.367,860.0
0.620,25.105,-229.467,920.0
0.630,22.857,-219.967,980.0
0.640,20.708,-209.867,1040.0
0.650,18.662,-199.167,1100.0
0.660,16.726,-187.867,1160.0
0.670,14.907,-176.0,1200.0
0.680,13.207,-164.0,1200.0
0.690,11.627,-152.0,1200.0
0.700,10.167,-140.0,1200.0
0.710,8.827,-128.0,1200.0
0.720,7.607,-116.033,1180.0
0.730,6.504,-104.533,1120.0
0.740,5.514,-93.633,1060.0
0.750,4.63,-83.333,1000.0
0.760,3.845,-73.633,940.0
0.770,3.155,-64.533,880.0
0.780,2.553,-56.033,820.0
0.790,2.032,-48.133,760.0
0.800,1.588,-40.833,700.0
0.810,1.214,-34.133,640.0
0.820,0.903,-28.033,580.0
0.830,0.651,-22.533,520.0
0.840,0.451,-17.633,460.0
0.850,0.296,-13.333,400.0
0.860,0.182,-9.633,340.0
0.870,0.102,-6.533,280.0
0.880,0.049,-4.033,220.0
0.890,0.019,-2.133,160.0
0.900,0.005,-0.833,100.0
0.910,0.0,-0.133,40.0
0.920,0.0,0.0,0.0
