t,d2,v2,a2
0.010,131.001,0.3,60.0
0.020,131.008,1.2,120.0
0.030,131.027,2.7,180.0
0.040,131.064,4.8,240.0
0.050,131.125,7.5,300.0
0.060,131.216,10.8,360.0
0.070,131.343,14.7,420.0
0.080,131.512,19.2,480.0
0.090,131.729,24.3,540.0
0.100,131.998,29.498,490.272
0.110,132.317,34.101,430.272
0.120,132.678,38.104,370.272
0.130,133.077,41.506,310.272
0.140,133.507,44.309,250.272
0.150,133.961,46.512,190.272
0.160,134.435,48.115,130.272
0.170,134.922,49.117,70.272
0.180,135.415,49.52,10.272
0.190,135.91,49.323,-49.728
0.200,136.4,48.526,-109.728
0.210,136.878,47.128,-169.728
0.220,137.34,45.131,-229.728
0.230,137.779,42.534,-289.728
0.240,138.189,39.336,-349.728
0.250,138.564,35.539,-409.728
0.260,138.898,31.142,-469.728
0.270,139.185,26.145,-529.728
0.280,139.419,20.879,-500.545
0.290,139.604,16.173,-440.545
0.300,139.745,12.068,-380.545
0.310,139.848,8.562,-320.545
0.320,139.918,5.657,-260.545
0.330,139.963,3.352,-200.545
0.340,139.987,1.646,-140.545
0.350,139.998,0.541,-80.545
0.360,140.0,0.035,-20.545
0.370,140.0,0.0,0.0
