t,d2,v2,a2
0.010,130.999,-0.3,-60.0
0.020,130.992,-1.2,-120.0
0.030,130.973,-2.7,-180.0
0.040,130.936,-4.8,-240.0
0.050,130.875,-7.5,-300.0
0.060,130.784,-10.8,-360.0
0.070,130.657,-14.7,-420.0
0.080,130.488,-19.2,-480.0
0.090,130.271,-24.3,-540.0
0.100,130.0,-30.0,-600.0
0.110,129.669,-36.3,-660.0
0.120,129.272,-43.2,-720.0
0.130,128.803,-50.7,-780.0
0.140,128.256,-58.8,-840.0
0.150,127.625,-67.5,-900.0
0.160,126.904,-76.8,-960.0
0.170,126.087,-86.7,-1020.0
0.180,125.168,-97.2,-1080.0
0.190,124.141,-108.3,-1140.0
0.200,123.0,-120.0,-1200.0
0.210,121.74,-132.0,-1200.0
0.220,120.36,-144.0,-1200.0
0.230,118.86,-156.0,-1200.0
0.240,117.24,-168.0,-1200.0
0.250,115.5,-179.931,-1171.232
0.260,113.643,-191.343,-1111.232
0.270,111.675,-202.156,-1051.232
0.280,109.602,-212.368,-991.232
0.290,107.43,-221.98,-931.232
0.300,105.165,-230.993,-871.232
0.310,102.812,-239.405,-811.232
0.320,100.378,-247.217,-751.232
0.330,97.87,-254.43,-691.232
0.340,95.292,-261.042,-631.232
0.350,92.651,-267.054,-571.232
0.360,89.953,-272.466,-511.232
0.370,87.204,-277.279,-451.232
0.380,84.409,-281.491,-391.232
0.390,81.576,-285.103,-331.232
0.400,78.709,-288.116,-271.232
0.410,75.815,-290.528,-211.232
0.420,72.901,-292.34,-151.232
0.430,69.971,-293.553,-91.232
0.440,67.031,-294.165,-31.232
0.450,64.089,-294.177,28.768
0.460,61.15,-293.59,88.768
0.470,58.219,-292.402,148.768
0.480,55.304,-290.614,208.768
0.490,52.409,-288.227,268.768
0.500,49.541,-285.239,328.768
0.510,46.706,-281.651,388.768
0.520,43.91,-277.464,448.768
0.530,41.159,-272.676,508.768
0.540,38.459,-267.288,568.768
0.550,35.815,-261.3,628.768
0.560,33.235,-254.713,688.768
0.570,30.723,-247.525,748.768
0.580,28.286,-239.737,808.768
0.590,25.93,-231.35,868.768
0.600,23.661,-222.362,928.768
0.610,21.485,-212.774,988.768
0.620,19.408,-202.587,1048.768
0.630,17.435,-191.799,1108.768
0.640,15.574,-180.411,1168.768
0.650,13.829,-168.493,1200.0
0.660,12.204,-156.493,1200.0
0.670,10.699,-144.493,1200.0
0.680,9.314,-132.493,1200.0
0.690,8.049,-120.493,1200.0
0.700,6.904,-108.768,1142.463
0.710,5.872,-97.644,1082.463
0.720,4.949,-87.119,1022.463
0.730,4.128,-77.195,962.463
0.740,3.403,-67.87,902.463
0.750,2.768,-59.145,842.463
0.760,2.218,-51.021,782.463
0.770,1.746,-43.496,722.463
0.780,1.346,-36.571,662.463
0.790,1.012,-30.247,602.463
0.800,0.739,-24.522,542.463
0.810,0.52,-19.398,482.463
0.820,0.349,-14.873,422.463
0.830,0.22,-10.948,362.463
0.840,0.128,-7.624,302.463
0.850,0.066,-4.899,242.463
0.860,0.028,-2.774,182.463
0.870,0.009,-1.25,122.463
0.880,0.001,-0.325,62.463
0.890,0.0,-0.001,2.463
0.900,-0.0,-0.0,0.0
