t,d2,v2,a2
0.010,190.999,-0.3,-60.0
0.020,190.992,-1.2,-120.0
0.030,190.973,-2.7,-180.0
0.040,190.936,-4.8,-240.0
0.050,190.875,-7.5,-300.0
0.060,190.784,-10.8,-360.0
0.070,190.657,-14.7,-420.0
0.080,190.488,-19.2,-480.0
0.090,190.271,-24.3,-540.0
0.100,190.0,-30.0,-600.0
0.110,189.669,-36.3,-660.0
0.120,189.272,-43.2,-720.0
0.130,188.803,-50.7,-780.0
0.140,188.256,-58.8,-840.0
0.150,187.625,-67.5,-900.0
0.160,186.904,-76.8,-960.0
0.170,186.087,-86.7,-1020.0
0.180,185.168,-97.198,-1072.43
0.190,184.143,-107.622,-1012.43
0.200,183.018,-117.446,-952.43
0.210,181.796,-126.671,-892.43
0.220,180.486,-135.295,-832.43
0.230,179.093,-143.319,-772.43
0.240,177.622,-150.743,-712.43
0.250,176.08,-157.568,-652.43
0.260,174.472,-163.792,-592.43
0.270,172.806,-169.416,-532.43
0.280,171.086,-174.441,-472.43
0.290,169.319,-178.865,-412.43
0.300,167.511,-182.689,-352.43
0.310,165.667,-185.914,-292.43
0.320,163.795,-188.538,-232.43
0.330,161.899,-190.562,-172.43
0.340,159.985,-191.986,-112.43
0.350,158.061,-192.811,-52.43
0.360,156.131,-193.035,7.57
0.370,154.202,-192.659,67.57
0.380,152.28,-191.684,127.57
0.390,150.37,-190.108,187.57
0.400,148.48,-187.932,247.57
0.410,146.614,-185.157,307.57
0.420,144.779,-181.781,367.57
0.430,142.98,-177.805,427.57
0.440,141.224,-173.23,487.57
0.450,139.518,-168.054,547.57
0.460,137.865,-162.278,607.57
0.470,136.274,-155.902,667.57
0.480,134.749,-148.927,727.57
0.490,133.297,-141.351,787.57
0.500,131.924,-133.175,847.57
0.510,130.636,-124.4,907.57
0.520,129.438,-115.024,967.57
0.530,128.337,-105.113,988.265
0.540,127.335,-95.53,928.265
0.550,126.425,-86.547,868.265
0.560,125.602,-78.165,808.265
0.570,124.86,-70.382,748.265
0.580,124.192,-63.199,688.265
0.590,123.594,-56.617,628.265
0.600,123.058,-50.634,568.265
0.610,122.579,-45.251,508.265
0.620,122.151,-40.469,448.265
0.630,121.767,-36.286,388.265
0.640,121.423,-32.703,328.265
0.650,121.111,-29.721,268.265
0.660,120.827,-27.338,208.265
0.670,120.563,-25.556,148.265
0.680,120.313,-24.373,88.265
0.690,120.073,-23.79,28.265
0.700,119.836,-23.808,-31.735
0.710,119.595,-24.425,-91.735
0.720,119.345,-25.642,-151.735
0.730,119.08,-27.46,-211.735
0.740,118.794,-29.877,-271.735
0.750,118.481,-32.894,-331.735
0.760,118.134,-36.512,-391.735
0.770,117.748,-40.729,-451.735
0.780,117.318,-45.546,-511.735
0.790,116.835,-50.964,-571.735
0.800,116.296,-56.981,-631.735
0.810,115.694,-63.598,-691.735
0.820,115.022,-70.816,-751.735
0.830,114.276,-78.3,-722.321
0.840,113.458,-85.223,-662.321
0.850,112.574,-91.546,-602.321
0.860,111.629,-97.27,-542.321
0.870,110.631,-102.393,-482.321
0.880,109.583,-106.916,-422.321
0.890,108.494,-110.839,-362.321
0.900,107.369,-114.162,-302.321
0.910,106.213,-116.886,-242.321
0.920,105.033,-119.009,-182.321
0.930,103.835,-120.532,-122.321
0.940,102.624,-121.455,-62.321
0.950,101.408,-121.778,-2.321
0.960,100.191,-121.502,57.679
0.970,98.98,-120.625,117.679
0.980,97.78,-119.148,177.679
0.990,96.599,-117.071,237.679
1.000,95.441,-114.394,297.679
1.010,94.313,-111.118,357.679
1.020,93.22,-107.241,417.679
1.030,92.17,-102.764,477.679
1.040,91.167,-97.687,537.679
1.050,90.218,-92.01,597.679
1.060,89.329,-85.734,657.679
1.070,88.506,-78.857,717.679
1.080,87.754,-71.38,777.679
1.090,87.08,-63.303,837.679
1.100,86.49,-54.627,897.679
1.110,85.989,-45.35,957.679
1.120,85.585,-35.473,1017.679
1.130,85.282,-24.996,1077.679
1.140,85.087,-13.92,1133.689
1.150,85.003,-2.883,1073.689
1.160,85.028,7.966,1113.2
1.170,85.165,19.398,1173.2
1.180,85.418,31.339,1200.0
1.190,85.792,43.339,1200.0
1.200,86.285,55.339,1200.0
1.210,86.898,67.339,1200.0
1.220,87.632,79.339,1200.0
1.230,88.485,91.339,1200.0
1.240,89.458,103.339,1200.0
1.250,90.552,115.339,1200.0
1.260,91.765,127.339,1200.0
1.270,93.099,139.339,1200.0
1.280,94.552,151.273,1171.968
1.290,96.122,162.693,1111.968
1.300,97.804,173.512,1051.968
1.310,99.59,183.732,991.968
1.320,101.476,193.352,931.968
1.330,103.456,202.371,871.968
1.340,105.522,210.791,811.968
1.350,107.669,218.611,751.968
1.360,109.892,225.83,691.968
1.370,112.184,232.45,631.968
1.380,114.539,238.47,571.968
1.390,116.951,243.89,511.968
1.400,119.415,248.709,451.968
1.410,121.924,252.929,391.968
1.420,124.471,256.549,331.968
1.430,127.052,259.568,271.968
1.440,129.661,261.988,211.968
1.450,132.29,263.808,151.968
1.460,134.935,265.027,91.968
1.470,137.589,265.647,31.968
1.480,140.246,265.667,-28.032
1.490,142.9,265.086,-88.032
1.500,145.546,263.906,-148.032
1.510,148.176,262.126,-208.032
1.520,150.786,259.745,-268.032
1.530,153.369,256.765,-328.032
1.540,155.919,253.185,-388.032
1.550,158.431,249.004,-448.032
1.560,160.897,244.224,-508.032
1.570,163.313,238.844,-568.032
1.580,165.672,232.863,-628.032
1.590,167.969,226.283,-688.032
1.600,170.196,219.103,-748.032
1.610,172.349,211.322,-808.032
1.620,174.42,202.942,-868.032
1.630,176.406,193.962,-928.032
1.640,178.298,184.382,-988.032
1.650,180.091,174.201,-1048.032
1.660,181.78,163.421,-1108.032
1.670,183.358,152.041,-1168.032
1.680,184.819,140.126,-1200.0
1.690,186.16,128.126,-1200.0
1.700,187.381,116.157,-1180.629
1.710,188.485,104.651,-1120.629
1.720,189.476,93.744,-1060.629
1.730,190.362,83.438,-1000.629
1.740,191.147,73.732,-940.629
1.750,191.838,64.626,-880.629
1.760,192.441,56.119,-820.629
1.770,192.963,48.213,-760.629
1.780,193.408,40.907,-700.629
1.790,193.783,34.2,-640.629
1.800,194.094,28.094,-580.629
1.810,194.347,22.588,-520.629
1.820,194.548,17.682,-460.629
1.830,194.702,13.375,-400.629
1.840,194.817,9.669,-340.629
1.850,194.898,6.563,-280.629
1.860,194.95,4.056,-220.629
1.870,194.981,2.15,-160.629
1.880,194.995,0.844,-100.629
1.890,195.0,0.138,-40.629
1.900,195.0,0.0,0.0
