t,d2,v2,a2
0.010,188.999,-0.3,-60.0
0.020,188.992,-1.2,-120.0
0.030,188.973,-2.7,-180.0
0.040,188.936,-4.8,-240.0
0.050,188.875,-7.5,-300.0
0.060,188.784,-10.8,-360.0
0.070,188.657,-14.7,-420.0
0.080,188.488,-19.2,-480.0
0.090,188.271,-24.3,-540.0
0.100,188.0,-30.0,-600.0
0.110,187.669,-36.3,-660.0
0.120,187.272,-43.2,-720.0
0.130,186.803,-50.7,-780.0
0.140,186.256,-58.8,-840.0
0.150,185.625,-67.5,-900.0
0.160,184.904,-76.8,-960.0
0.170,184.087,-86.7,-1020.0
0.180,183.168,-97.2,-1077.301
0.190,182.143,-107.673,-1017.301
0.200,181.017,-117.546,-957.301
0.210,179.794,-126.819,-897.301
0.220,178.482,-135.492,-837.301
0.230,177.086,-143.565,-777.301
0.240,175.613,-151.038,-717.301
0.250,174.068,-157.911,-657.301
0.260,172.457,-164.184,-597.301
0.270,170.786,-169.857,-537.301
0.280,169.062,-174.93,-477.301
0.290,167.289,-179.403,-417.301
0.300,165.475,-183.276,-357.301
0.310,163.626,-186.549,-297.301
0.320,161.746,-189.222,-237.301
0.330,159.843,-191.295,-177.301
0.340,157.923,-192.768,-117.301
0.350,155.99,-193.641,-57.301
0.360,154.052,-193.914,2.699
0.370,152.114,-193.587,62.699
0.380,150.182,-192.66,122.699
0.390,148.263,-191.133,182.699
0.400,146.361,-189.006,242.699
0.410,144.484,-186.279,302.699
0.420,142.638,-182.952,362.699
0.430,140.827,-179.025,422.699
0.440,139.059,-174.498,482.699
0.450,137.339,-169.371,542.699
0.460,135.674,-163.644,602.699
0.470,134.069,-157.317,662.699
0.480,132.53,-150.39,722.699
0.490,131.063,-142.863,782.699
0.500,129.674,-134.736,842.699
0.510,128.37,-126.009,902.699
0.520,127.156,-116.682,962.699
0.530,126.038,-106.755,1022.699
0.540,125.023,-96.228,1082.699
0.550,124.116,-85.24,1084.981
0.560,123.316,-74.69,1024.981
0.570,122.62,-64.74,964.981
0.580,122.02,-55.39,904.981
0.590,121.51,-46.641,844.981
0.600,121.085,-38.491,784.981
0.610,120.738,-30.941,724.981
0.620,120.464,-23.991,664.981
0.630,120.256,-17.641,604.981
0.640,120.109,-11.892,544.981
0.650,120.017,-6.742,484.981
0.660,119.972,-2.192,424.981
0.670,119.971,1.758,364.981
0.680,120.006,5.108,304.981
0.690,120.071,7.857,244.981
0.700,120.161,10.007,184.981
0.710,120.269,11.557,124.981
0.720,120.39,12.507,64.981
0.730,120.517,12.857,4.981
0.740,120.645,12.606,-55.019
0.750,120.767,11.756,-115.019
0.760,120.878,10.306,-175.019
0.770,120.971,8.256,-235.019
0.780,121.041,5.606,-295.019
0.790,121.082,2.425,-314.127
0.800,121.091,-0.416,-254.127
0.810,121.075,-2.657,-194.127
0.820,121.04,-4.299,-134.127
0.830,120.991,-5.34,-74.127
0.840,120.935,-5.781,-14.127
0.850,120.877,-5.798,0.0
0.860,120.819,-5.798,0.0
0.870,120.761,-5.798,0.0
0.880,120.703,-5.798,0.0
0.890,120.645,-5.798,0.0
0.900,120.587,-5.798,0.0
0.910,120.529,-5.798,0.0
0.920,120.471,-5.798,0.0
0.930,120.413,-5.798,0.0
0.940,120.355,-5.798,0.0
0.950,120.297,-5.798,0.0
0.960,120.239,-5.798,0.0
0.970,120.181,-5.798,0.0
0.980,120.124,-5.511,58.683
0.990,120.073,-4.624,118.683
1.000,120.034,-3.137,178.683
1.010,120.011,-1.504,134.341
1.020,120.002,-0.461,74.341
1.030,120.0,-0.017,14.341
1.040,120.0,-0.174,-45.659
1.050,119.995,-0.93,-105.659
1.060,119.979,-2.287,-165.659
1.070,119.947,-4.243,-225.659
1.080,119.892,-6.8,-285.659
1.090,119.809,-9.957,-345.659
1.100,119.691,-13.713,-405.659
1.110,119.533,-18.07,-465.659
1.120,119.328,-23.026,-525.659
1.130,119.07,-28.583,-585.659
1.140,118.754,-34.74,-645.659
1.150,118.373,-41.496,-705.659
1.160,117.922,-48.853,-765.659
1.170,117.394,-56.809,-825.659
1.180,116.786,-64.817,-770.871
1.190,116.1,-72.226,-710.871
1.200,115.343,-79.034,-650.871
1.210,114.521,-85.243,-590.871
1.220,113.64,-90.852,-530.871
1.230,112.706,-95.86,-470.871
1.240,111.725,-100.269,-410.871
1.250,110.703,-104.078,-350.871
1.260,109.645,-107.287,-290.871
1.270,108.559,-109.895,-230.871
1.280,107.449,-111.904,-170.871
1.290,106.323,-113.313,-110.871
1.300,105.185,-114.121,-50.871
1.310,104.042,-114.337,0.0
1.320,102.899,-114.337,0.0
1.330,101.756,-114.337,0.0
1.340,100.612,-114.337,0.0
1.350,99.469,-114.337,0.0
1.360,98.326,-114.337,0.0
1.370,97.182,-114.337,0.0
1.380,96.039,-114.337,0.0
