t,d2,v2,a2
0.010,0.001,0.3,60.0
0.020,0.008,1.2,120.0
0.030,0.027,2.7,180.0
0.040,0.064,4.8,240.0
0.050,0.125,7.5,300.0
0.060,0.216,10.8,360.0
0.070,0.343,14.7,420.0
0.080,0.512,19.2,480.0
0.090,0.729,24.3,540.0
0.100,1.0,30.0,600.0
0.110,1.331,36.3,660.0
0.120,1.728,43.2,720.0
0.130,2.197,50.7,780.0
0.140,2.744,58.8,840.0
0.150,3.375,67.5,900.0
0.160,4.096,76.8,960.0
0.170,4.913,86.7,1020.0
0.180,5.832,97.2,1080.0
0.190,6.859,108.3,1140.0
0.200,8.0,120.0,1200.0
0.210,9.26,132.0,1200.0
0.220,10.64,144.0,1200.0
0.230,12.14,156.0,1200.0
0.240,13.76,168.0,1200.0
0.250,15.5,180.0,1200.0
0.260,17.359,191.7,1140.0
0.270,19.332,202.8,1080.0
0.280,21.413,213.3,1020.0
0.290,23.596,223.2,960.0
0.300,25.875,232.5,900.0
0.310,28.244,241.2,840.0
0.320,30.697,249.3,780.0
0.330,33.228,256.8,720.0
0.340,35.831,263.7,660.0
0.350,38.5,270.0,600.0
0.360,41.229,275.7,540.0
0.370,44.012,280.8,480.0
0.380,46.843,285.3,420.0
0.390,49.716,289.2,360.0
0.400,52.625,292.5,300.0
0.410,55.564,295.2,240.0
0.420,58.527,297.3,180.0
0.430,61.508,298.8,120.0
0.440,64.501,299.7,60.0
0.450,67.5,300.0,0.0
0.460,70.5,300.0,0.0
0.470,73.5,299.967,-20.0
0.480,76.498,299.467,-80.0
0.490,79.487,298.367,-140.0
0.500,82.463,296.667,-200.0
0.510,85.419,294.367,-260.0
0.520,88.348,291.467,-320.0
0.530,91.246,287.967,-380.0
0.540,94.106,283.867,-440.0
0.550,96.921,279.167,-500.0
0.560,99.687,273.867,-560.0
0.570,102.397,267.967,-620.0
0.580,105.044,261.467,-680.0
0.590,107.624,254.367,-740.0
0.600,110.13,246.667,-800.0
0.610,112.555,238.367,-860.0
0.620,114.895,229.467,-920.0
0.630,117.143,219.967,-980.0
0.640,119.292,209.867,-1040.0
0.650,121.338,199.167,-1100.0
0.660,123.274,187.867,-1160.0
0.670,125.093,176.0,-1200.0
0.680,126.793,164.0,-1200.0
0.690,128.373,152.0,-1200.0
0.700,129.833,140.0,-1200.0
0.710,131.173,128.0,-1200.0
0.720,132.393,116.033,-1180.0
0.730,133.496,104.533,-1120.0
0.740,134.486,93.633,-1060.0
0.750,135.37,83.333,-1000.0
0.760,136.155,73.633,-940.0
0.770,136.845,64.533,-880.0
0.780,137.447,56.033,-820.0
0.790,137.968,48.133,-760.0
0.800,138.412,40.833,-700.0
0.810,138.786,34.133,-640.0
0.820,139.097,28.033,-580.0
0.830,139.349,22.533,-520.0
0.840,139.549,17.633,-460.0
0.850,139.704,13.333,-400.0
0.860,139.818,9.633,-340.0
0.870,139.898,6.533,-280.0
0.880,139.951,4.033,-220.0
0.890,139.981,2.133,-160.0
0.900,139.995,0.833,-100.0
0.910,140.0,0.133,-40.0
0.920,140.0,0.0,0.0
