t,d2,v2,a2
0.010,0.001,0.3,60.0
0.020,0.008,1.2,120.0
0.030,0.027,2.7,180.0
0.040,0.064,4.8,240.0
0.050,0.125,7.5,300.0
0.060,0.216,10.8,360.0
0.070,0.343,14.7,420.0
0.080,0.512,19.2,480.0
0.090,0.729,24.3,540.0
0.100,1.0,30.0,600.0
0.110,1.331,36.3,660.0
0.120,1.728,43.2,720.0
0.130,2.197,50.7,780.0
0.140,2.744,58.8,840.0
0.150,3.375,67.5,900.0
0.160,4.096,76.8,960.0
0.170,4.913,86.7,1020.0
0.180,5.832,97.2,1080.0
0.190,6.859,108.3,1140.0
0.200,8.0,120.0,1200.0
0.210,9.26,132.0,1200.0
0.220,10.64,144.0,1200.0
0.230,12.14,156.0,1200.0
0.240,13.76,168.0,1200.0
0.250,15.5,179.931,1171.232
0.260,17.357,191.343,1111.232
0.270,19.325,202.156,1051.232
0.280,21.398,212.368,991.232
0.290,23.57,221.98,931.232
0.300,25.835,230.993,871.232
0.310,28.188,239.405,811.232
0.320,30.622,247.217,751.232
0.330,33.13,254.43,691.232
0.340,35.708,261.042,631.232
0.350,38.349,267.054,571.232
0.360,41.047,272.466,511.232
0.370,43.796,277.279,451.232
0.380,46.591,281.491,391.232
0.390,49.424,285.103,331.232
0.400,52.291,288.116,271.232
0.410,55.185,290.528,211.232
0.420,58.099,292.34,151.232
0.430,61.029,293.553,91.232
0.440,63.969,294.165,31.232
0.450,66.911,294.177,-28.768
0.460,69.85,293.59,-88.768
0.470,72.781,292.402,-148.768
0.480,75.696,290.614,-208.768
0.490,78.591,288.227,-268.768
0.500,81.459,285.239,-328.768
0.510,84.294,281.651,-388.768
0.520,87.09,277.464,-448.768
0.530,89.841,272.676,-508.768
0.540,92.541,267.288,-568.768
0.550,95.185,261.3,-628.768
0.560,97.765,254.713,-688.768
0.570,100.277,247.525,-748.768
0.580,102.714,239.737,-808.768
0.590,105.07,231.35,-868.768
0.600,107.339,222.362,-928.768
0.610,109.515,212.774,-988.768
0.620,111.592,202.587,-1048.768
0.630,113.565,191.799,-1108.768
0.640,115.426,180.411,-1168.768
0.650,117.171,168.493,-1200.0
0.660,118.796,156.493,-1200.0
0.670,120.301,144.493,-1200.0
0.680,121.686,132.493,-1200.0
0.690,122.951,120.493,-1200.0
0.700,124.096,108.768,-1142.463
0.710,125.128,97.644,-1082.463
0.720,126.051,87.119,-1022.463
0.730,126.872,77.195,-962.463
0.740,127.597,67.87,-902.463
0.750,128.232,59.145,-842.463
0.760,128.782,51.021,-782.463
0.770,129.254,43.496,-722.463
0.780,129.654,36.571,-662.463
0.790,129.988,30.247,-602.463
0.800,130.261,24.522,-542.463
0.810,130.48,19.398,-482.463
0.820,130.651,14.873,-422.463
0.830,130.78,10.948,-362.463
0.840,130.872,7.624,-302.463
0.850,130.934,4.899,-242.463
0.860,130.972,2.774,-182.463
0.870,130.991,1.25,-122.463
0.880,130.999,0.325,-62.463
0.890,131.0,0.001,-2.463
0.900,131.0,0.0,0.0
