t,d2,v2,a2
0.010,0.001,0.3,60.0
0.020,0.008,1.2,120.0
0.030,0.027,2.7,180.0
0.040,0.064,4.8,240.0
0.050,0.125,7.5,300.0
0.060,0.216,10.8,360.0
0.070,0.343,14.7,420.0
0.080,0.512,19.2,480.0
0.090,0.729,24.3,540.0
0.100,1.0,30.0,600.0
0.110,1.331,36.163,602.761
0.120,1.722,41.891,542.761
0.130,2.167,47.019,482.761
0.140,2.66,51.546,422.761
0.150,3.196,55.474,362.761
0.160,3.767,58.802,302.761
0.170,4.37,61.529,242.761
0.180,4.996,63.657,182.761
0.190,5.641,65.184,122.761
0.200,6.298,66.112,62.761
0.210,6.961,66.44,2.761
0.220,7.625,66.44,0.0
0.230,8.29,66.44,0.0
0.240,8.954,66.44,0.0
0.250,9.619,66.44,0.0
0.260,10.283,66.44,0.0
0.270,10.947,66.44,0.0
0.280,11.612,66.44,0.0
0.290,12.276,66.44,0.0
0.300,12.941,66.44,0.0
0.310,13.605,66.44,0.0
0.320,14.269,66.44,0.0
0.330,14.934,66.44,0.0
0.340,15.598,66.44,0.0
0.350,16.263,66.44,0.0
0.360,16.927,66.44,0.0
0.370,17.591,66.44,0.0
0.380,18.256,66.44,0.0
0.390,18.92,66.44,0.0
0.400,19.585,66.44,0.0
0.410,20.249,66.44,0.0
0.420,20.913,66.44,0.0
0.430,21.578,66.44,0.0
0.440,22.242,66.44,0.0
0.450,22.907,66.44,0.0
0.460,23.571,66.44,0.0
0.470,24.235,66.44,0.0
0.480,24.9,66.44,0.0
0.490,25.564,66.44,0.0
0.500,26.229,66.44,0.0
0.510,26.893,66.44,0.0
0.520,27.557,66.44,0.0
0.530,28.222,66.44,0.0
0.540,28.886,66.44,0.0
0.550,29.551,66.44,0.0
0.560,30.215,66.44,0.0
0.570,30.879,66.44,0.0
0.580,31.544,66.44,0.0
0.590,32.208,66.44,0.0
0.600,32.873,66.44,0.0
0.610,33.537,66.44,0.0
0.620,34.201,66.44,0.0
